node Id source	node Id dst	edge hierarchical prop
68	137	lower
137	68	higher
66	137	same
137	66	same
140	141	same
141	140	same
71	141	same
141	71	same
140	142	same
142	140	same
143	142	same
142	143	same
144	142	same
142	144	same
140	143	same
143	140	same
140	144	same
144	140	same
143	140	same
140	143	same
143	144	same
144	143	same
144	140	same
140	144	same
144	143	same
143	144	same
68	142	lower
142	68	higher
66	142	same
142	66	same
145	146	same
146	145	same
147	146	same
146	147	same
148	146	same
146	148	same
145	147	same
147	145	same
145	148	same
148	145	same
147	145	same
145	147	same
147	148	same
148	147	same
148	145	same
145	148	same
148	147	same
147	148	same
71	146	same
146	71	same
145	149	same
149	145	same
147	149	same
149	147	same
148	149	same
149	148	same
150	149	same
149	150	same
145	147	same
147	145	same
145	148	same
148	145	same
145	150	same
150	145	same
147	145	same
145	147	same
147	148	same
148	147	same
147	150	same
150	147	same
148	145	same
145	148	same
148	147	same
147	148	same
148	150	same
150	148	same
150	145	same
145	150	same
150	147	same
147	150	same
150	148	same
148	150	same
68	149	lower
149	68	higher
71	149	same
149	71	same
151	152	same
152	151	same
71	152	same
152	71	same
151	153	same
153	151	same
154	153	same
153	154	same
151	154	same
154	151	same
154	151	same
151	154	same
68	153	lower
153	68	higher
66	153	same
153	66	same
155	156	same
156	155	same
66	156	same
156	66	same
155	157	same
157	155	same
158	157	same
157	158	same
159	157	same
157	159	same
155	158	same
158	155	same
155	159	same
159	155	same
158	155	same
155	158	same
158	159	same
159	158	same
159	155	same
155	159	same
159	158	same
158	159	same
68	157	lower
157	68	higher
71	157	same
157	71	same
160	161	same
161	160	same
66	161	same
161	66	same
160	162	same
162	160	same
163	162	same
162	163	same
160	163	same
163	160	same
163	160	same
160	163	same
68	162	lower
162	68	higher
71	162	same
162	71	same
66	164	same
164	66	same
165	166	same
166	165	same
68	166	lower
166	68	higher
71	166	same
166	71	same
167	168	same
168	167	same
66	168	same
168	66	same
167	169	same
169	167	same
170	169	same
169	170	same
167	170	same
170	167	same
170	167	same
167	170	same
68	169	lower
169	68	higher
71	169	same
169	71	same
66	171	same
171	66	same
172	173	same
173	172	same
71	173	same
173	71	same
172	174	same
174	172	same
175	174	same
174	175	same
176	174	same
174	176	same
177	174	same
174	177	same
172	175	same
175	172	same
172	176	same
176	172	same
172	177	same
177	172	same
175	172	same
172	175	same
175	176	same
176	175	same
175	177	same
177	175	same
176	172	same
172	176	same
176	175	same
175	176	same
176	177	same
177	176	same
177	172	same
172	177	same
177	175	same
175	177	same
177	176	same
176	177	same
68	174	lower
174	68	higher
66	174	same
174	66	same
178	179	same
179	178	same
66	179	same
179	66	same
178	180	same
180	178	same
105	180	same
180	105	same
178	105	same
105	178	same
105	178	same
178	105	same
68	180	lower
180	68	higher
66	180	same
180	66	same
181	182	same
182	181	same
66	182	same
182	66	same
181	183	same
183	181	same
68	183	lower
183	68	higher
66	183	same
183	66	same
66	184	same
184	66	same
185	186	same
186	185	same
187	186	same
186	187	same
185	187	same
187	185	same
187	185	same
185	187	same
68	186	lower
186	68	higher
71	186	same
186	71	same
188	189	same
189	188	same
71	189	same
189	71	same
188	190	same
190	188	same
191	190	same
190	191	same
192	190	same
190	192	same
188	191	same
191	188	same
188	192	same
192	188	same
191	188	same
188	191	same
191	192	same
192	191	same
192	188	same
188	192	same
192	191	same
191	192	same
68	190	lower
190	68	higher
66	190	same
190	66	same
193	194	same
194	193	same
71	194	same
194	71	same
193	195	same
195	193	same
196	195	same
195	196	same
197	195	same
195	197	same
198	195	same
195	198	same
199	195	same
195	199	same
193	196	same
196	193	same
193	197	same
197	193	same
193	198	same
198	193	same
193	199	same
199	193	same
196	193	same
193	196	same
196	197	same
197	196	same
196	198	same
198	196	same
196	199	same
199	196	same
197	193	same
193	197	same
197	196	same
196	197	same
197	198	same
198	197	same
197	199	same
199	197	same
198	193	same
193	198	same
198	196	same
196	198	same
198	197	same
197	198	same
198	199	same
199	198	same
199	193	same
193	199	same
199	196	same
196	199	same
199	197	same
197	199	same
199	198	same
198	199	same
68	195	lower
195	68	higher
71	195	same
195	71	same
200	201	same
201	200	same
71	201	same
201	71	same
200	202	same
202	200	same
203	202	same
202	203	same
200	203	same
203	200	same
